"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000051951",11.7280218127699,-0.0760889600341714,0.308345596109535,-0.246765191376828,0.805089950781065,0.998518340850117
"ENSMUSG00000102331",1.36793307541806,1.00454957683434,0.970005984883181,1.03561173074135,0.30038331704586,0.998518340850117
"ENSMUSG00000025900",0.188398295195971,-0.659030030760467,2.12166150932743,-0.310619779763728,0.756089688459719,0.998518340850117
"ENSMUSG00000025902",62.2411978518475,-0.300430513492392,0.222147804502729,-1.35239019879083,0.176250523178811,0.998518340850117
"ENSMUSG00000104238",0.326951961569689,0.498775072202133,1.45560043278463,0.342659332168482,0.731854760622013,0.998518340850117
"ENSMUSG00000102269",1.35892192740402,0.402163667230912,0.696119544983007,0.57772213139157,0.563451734855267,0.998518340850117
"ENSMUSG00000096126",0.161314975101846,-0.178138198524318,3.02618920828379,-0.0588655190616263,0.953059222208787,0.998518340850117
"ENSMUSG00000104328",0.236287897533102,0.401288457310785,1.67921722759197,0.238973523328033,0.81112611331822,0.998518340850117
"ENSMUSG00000098104",2.60573683929658,-0.788109260205175,0.485908157464824,-1.62193049879437,0.104818230352592,0.998518340850117
"ENSMUSG00000102175",1.24701331578495,0.520929782810562,0.815509308608346,0.638778463117141,0.52296706078578,0.998518340850117
"ENSMUSG00000103265",0.0914255454554435,0.877366336455221,3.02606016095601,0.289936845200738,0.771864553306511,0.998518340850117
"ENSMUSG00000103922",0.245788868612016,0.160873151030059,1.70950533923304,0.0941050883773391,0.925025678381161,0.998518340850117
"ENSMUSG00000033845",2389.68587246842,0.113891016236837,0.0667991129090148,1.7049779746621,0.0881985323074289,0.998518340850117
"ENSMUSG00000102275",24.1211079492016,0.0448105279450225,0.218400234691777,0.205176189523159,0.837434471707283,0.998518340850117
"ENSMUSG00000025903",9640.2841514769,0.111534768272206,0.0664495088640908,1.67848897875721,0.0932516802328921,0.998518340850117
"ENSMUSG00000104217",0.637397257187323,1.04062591664984,0.917263648450692,1.13448943322622,0.256589303671671,0.998518340850117
"ENSMUSG00000033813",1969.39657513033,0.147828047777559,0.0798517866682419,1.85128040267573,0.0641292239222055,0.998518340850117
"ENSMUSG00000062588",1.8050295969039,0.980723347723355,0.5914382208102,1.65820082844812,0.0972769376372451,0.998518340850117
"ENSMUSG00000103280",0.732744365741026,0.642283523020163,1.04396087945479,0.615237156545173,0.53839811277077,0.998518340850117
"ENSMUSG00000002459",5.44683876163741,-0.549935979637433,0.439274837738982,-1.2519177799212,0.21059982529635,0.998518340850117
"ENSMUSG00000033793",2107.71515930905,0.0224329623447885,0.0630679222718407,0.355695281162047,0.722068779316849,0.998518340850117
"ENSMUSG00000104046",0.103672959542687,0.062307772028754,3.02618920828379,0.0205895162993096,0.983573103475976,0.998518340850117
"ENSMUSG00000025905",48.1545246424986,-0.288853547734911,0.337684243226816,-0.855395398300813,0.392332290276768,0.998518340850117
"ENSMUSG00000025907",3515.14604951599,-0.0410931296739595,0.0765705215444866,-0.53667036406543,0.591495330558356,0.998518340850117
"ENSMUSG00000090031",139.850064787909,-0.131677328448139,0.171676140382943,-0.767010069974882,0.443075528358596,0.998518340850117
"ENSMUSG00000087247",0.99635179463569,-0.16196672729063,0.829263926353923,-0.19531384658532,0.84514725780874,0.998518340850117
"ENSMUSG00000103845",0.725807008307845,-2.04340391007247,1.11299974975376,-1.83594282974866,0.066366112403606,0.998518340850117
"ENSMUSG00000033740",50.0169498012577,-0.223364275562964,0.15883144250381,-1.40629759474486,0.159635774075685,0.998518340850117
"ENSMUSG00000102135",1.51215995666566,0.208550886617377,0.613128801001246,0.340142048908503,0.733749557125791,0.998518340850117
"ENSMUSG00000051285",1960.7654684611,-0.00549389389919048,0.0698563322665611,-0.0786456105113938,0.937314507922989,0.998518340850117
"ENSMUSG00000103509",30.627364644791,-0.305152766219725,0.17033882408263,-1.79144577205546,0.0732217893349997,0.998518340850117
"ENSMUSG00000048538",2.03569851736328,0.454931931052295,0.564453937030788,0.805968213182082,0.420261177561726,0.998518340850117
"ENSMUSG00000097797",17.5910725323014,0.0688953019171883,0.224526746454303,0.306846747682287,0.758960024013174,0.998518340850117
"ENSMUSG00000103067",13.8188036044377,0.0323234167029806,0.321137646261226,0.100652841793227,0.919826047974759,0.998518340850117
"ENSMUSG00000025909",12.4681471864858,-0.0944983623099042,0.29018084137729,-0.325653347276082,0.744686645090393,0.998518340850117
"ENSMUSG00000084353",1.17266251164077,-0.434322502869755,0.684985933986022,-0.6340604694499,0.526041359656477,0.998518340850117
"ENSMUSG00000103933",0.541654908085198,-1.00261421871016,1.09223635960463,-0.91794620266358,0.358647031288422,0.998518340850117
"ENSMUSG00000102316",0.152213212099644,0.350846639540531,2.70552934006558,0.129677632522746,0.896821479779084,0.998518340850117
"ENSMUSG00000103411",0.252478553466577,0.401815838112604,2.53223116166508,0.158680551837293,0.873920561407672,0.998518340850117
"ENSMUSG00000061024",541.002457162197,0.113279306707723,0.135281360745258,0.837360787056493,0.402389800325653,0.998518340850117
"ENSMUSG00000025911",80.9016109153036,0.205000165778147,0.389199883893461,0.526722063037057,0.598386611930389,0.998518340850117
"ENSMUSG00000079671",19.2237427768403,0.058939856820008,0.307693552621998,0.191553759634397,0.84809176611574,0.998518340850117
"ENSMUSG00000081441",12.3233185579797,0.103400385372353,0.305826430417772,0.338101534360857,0.735286674310787,0.998518340850117
"ENSMUSG00000067879",0.934390033042439,-0.138133943655401,0.815134473617404,-0.16946154055096,0.865433620999582,0.998518340850117
