"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"cluster";"Genes";"signal"
"Rps15a";3,67034704948614e-151;-0,461475481937141;0,983;0,992;7,49117832800121e-147;"Bcells";"Rps15a";"Upregulated_yMB"
"Rps27";4,38311440586885e-149;-0,375710637935001;0,989;0,994;8,94593650237833e-145;"Bcells";"Rps27";"Upregulated_yMB"
"Cd74";3,04153320137003e-124;-0,350338589427985;1;0,999;6,20776926399623e-120;"Bcells";"Cd74";"Upregulated_yMB"
"Rpl13";1,38282161708787e-122;-0,417322796093906;0,987;0,995;2,82233892047635e-118;"Bcells";"Rpl13";"Upregulated_yMB"
"Rps7";2,51793501271976e-119;-0,455224628872968;0,976;0,994;5,13910536096103e-115;"Bcells";"Rps7";"Upregulated_yMB"
"Rps29";1,06283114603519e-117;-0,316683621620459;0,994;0,994;2,16923836905781e-113;"Bcells";"Rps29";"Upregulated_yMB"
"Rpl35";5,15115106897746e-115;-0,595910059724069;0,907;0,977;1,0513499331783e-110;"Bcells";"Rpl35";"Upregulated_yMB"
"Rpl21";6,41402314337229e-107;-0,406272895556271;0,981;0,994;1,30910212356228e-102;"Bcells";"Rpl21";"Upregulated_yMB"
"Rpl10";1,90125207812804e-104;-0,504931828314897;0,949;0,983;3,88045549145933e-100;"Bcells";"Rpl10";"Upregulated_yMB"
"Uba52";1,16213959465742e-103;-0,871536734797287;0,466;0,804;2,37192691269579e-99;"Bcells";"Uba52";"Upregulated_yMB"
"Tpt1";2,0306216857022e-103;-0,297464890033625;0,995;0,997;4,14449886051819e-99;"Bcells";"Tpt1";"Upregulated_yMB"
"Tmsb10";4,42715256294165e-97;-0,555591126867536;0,915;0,976;9,03581838096391e-93;"Bcells";"Tmsb10";"Upregulated_yMB"
"Rpl34";2,15368991397002e-96;-0,37188584158665;0,977;0,991;4,39568111441281e-92;"Bcells";"Rpl34";"Upregulated_yMB"
"Rpl6";5,98553288142653e-91;-0,442504782656099;0,958;0,991;1,22164726109916e-86;"Bcells";"Rpl6";"Upregulated_yMB"
"H2-Eb1";4,41164461600802e-87;-0,397182980313944;0,981;0,995;9,00416666127238e-83;"Bcells";"H2-Eb1";"Upregulated_yMB"
"Rpl15";1,09870716809562e-85;-0,739021176356402;0,626;0,878;2,24246133008317e-81;"Bcells";"Rpl15";"Upregulated_yMB"
"Rpl26";9,29709543245771e-85;-0,363856042569853;0,973;0,992;1,89753717776462e-80;"Bcells";"Rpl26";"Upregulated_yMB"
"Fau";3,25078922587528e-84;-0,272694249817069;0,991;0,994;6,63486081001144e-80;"Bcells";"Fau";"Upregulated_yMB"
"Rpl32";6,28770361755875e-84;-0,368266070996127;0,981;0,99;1,28332030834374e-79;"Bcells";"Rpl32";"Upregulated_yMB"
"Tmsb4x";1,36537488134032e-83;-0,364356760894047;0,994;0,995;2,78673013281559e-79;"Bcells";"Tmsb4x";"Upregulated_yMB"
"H2-Aa";3,87751029868493e-83;-0,348776286637207;0,983;0,995;7,91399851961593e-79;"Bcells";"H2-Aa";"Upregulated_yMB"
"Rps24";2,67424602188515e-72;-0,226124832173309;0,993;0,999;5,4581361306676e-68;"Bcells";"Rps24";"Upregulated_yMB"
"Rpl29";4,11433258110829e-72;-0,541224043517231;0,812;0,946;8,39735279804203e-68;"Bcells";"Rpl29";"Upregulated_yMB"
"Rpl17";5,46361201062441e-69;-0,287024760003972;0,987;0,992;1,11512321136844e-64;"Bcells";"Rpl17";"Upregulated_yMB"
"Rpl9";2,29544390933542e-68;-0,324650351876177;0,98;0,991;4,6850010189536e-64;"Bcells";"Rpl9";"Upregulated_yMB"
"Malat1";7,32866338909889e-66;-0,227589713505216;0,999;0,998;1,49578019771508e-61;"Bcells";"Malat1";"Upregulated_yMB"
"Rpl19";3,33789475547672e-65;-0,290573516654669;0,987;0,994;6,81264319592798e-61;"Bcells";"Rpl19";"Upregulated_yMB"
"Rpl12";4,13059083853403e-65;-0,319221981635113;0,978;0,994;8,43053590144796e-61;"Bcells";"Rpl12";"Upregulated_yMB"
"Rps5";5,32009660064312e-65;-0,305994932198402;0,98;0,993;1,08583171619126e-60;"Bcells";"Rps5";"Upregulated_yMB"
"Rpl36";2,7069503166139e-62;-0,319475010427194;0,971;0,989;5,52488559620897e-58;"Bcells";"Rpl36";"Upregulated_yMB"
"Rpl11";2,93462382065499e-62;-0,342453427088549;0,967;0,987;5,98956721795684e-58;"Bcells";"Rpl11";"Upregulated_yMB"
"Rps21";1,2398502835134e-61;-0,249801733047828;0,989;0,994;2,53053442865085e-57;"Bcells";"Rps21";"Upregulated_yMB"
"H2-Ab1";1,12072173706887e-60;-0,327128683183201;0,982;0,992;2,28739306535755e-56;"Bcells";"H2-Ab1";"Upregulated_yMB"
"Rps3";1,72896510242096e-60;-0,312409513478434;0,974;0,99;3,52881777404119e-56;"Bcells";"Rps3";"Upregulated_yMB"
"Hist1h1e";1,94298977761599e-59;-1,32409159207392;0,174;0,407;3,96564213611424e-55;"Bcells";"Hist1h1e";"Upregulated_yMB"
"Rpl39";3,32115926604171e-58;-0,26960522047734;0,985;0,992;6,77848606199112e-54;"Bcells";"Rpl39";"Upregulated_yMB"
"Rps23";7,35102817326475e-56;-0,264643146339758;0,982;0,994;1,50034485016334e-51;"Bcells";"Rps23";"Upregulated_yMB"
"Rpl37";1,09148638380786e-53;-0,297327068739915;0,98;0,991;2,22772370935183e-49;"Bcells";"Rpl37";"Upregulated_yMB"
"Ubb";1,04651231056097e-50;-0,508425608861612;0,799;0,926;2,13593162585494e-46;"Bcells";"Ubb";"Upregulated_yMB"
"Ctrb1";2,25660355253899e-50;-5,78639747180777;0,003;0,111;4,60572785073208e-46;"Bcells";"Ctrb1";"Upregulated_yMB"
"Rpl23";7,05319583575116e-50;-0,229127727374135;0,992;0,996;1,43955727007681e-45;"Bcells";"Rpl23";"Upregulated_yMB"
"Rplp0";1,72753032438868e-49;-0,403730325596262;0,903;0,98;3,5258893920773e-45;"Bcells";"Rplp0";"Upregulated_yMB"
"Gm11808";4,77048037748311e-49;-0,785722027568281;0,339;0,587;9,73655045044302e-45;"Bcells";"Gm11808";"Upregulated_yMB"
"Rpl27";3,49334228027212e-48;-0,345142253380038;0,932;0,974;7,12991159403539e-44;"Bcells";"Rpl27";"Upregulated_yMB"
"Rpl18a";1,92418133700386e-45;-0,225234963130197;0,988;0,994;3,92725410882487e-41;"Bcells";"Rpl18a";"Upregulated_yMB"
"Rps16";6,08335226794454e-45;-0,202861587035364;0,991;0,997;1,24161219788748e-40;"Bcells";"Rps16";"Upregulated_yMB"
"Rps2";6,13182713796988e-45;-0,306335699573574;0,974;0,991;1,25150591885965e-40;"Bcells";"Rps2";"Upregulated_yMB"
"Ppia";6,12565961897424e-44;-0,325948479411013;0,924;0,974;1,25024712823264e-39;"Bcells";"Ppia";"Upregulated_yMB"
"Mef2c";2,29625268338713e-43;-0,364769074239224;0,948;0,984;4,68665172679313e-39;"Bcells";"Mef2c";"Upregulated_yMB"
"Rps11";4,97771048455427e-42;-0,2847147292521;0,971;0,992;1,01595070989753e-37;"Bcells";"Rps11";"Upregulated_yMB"
"Rpl28";2,65013563621718e-41;-0,279181422059193;0,966;0,99;5,40892683351927e-37;"Bcells";"Rpl28";"Upregulated_yMB"
"Rpl5";1,01263877492992e-40;-0,24789051042844;0,977;0,99;2,06679573963197e-36;"Bcells";"Rpl5";"Upregulated_yMB"
"H3f3b";5,76235246989041e-40;-0,411034071904479;0,976;0,99;1,17609613910463e-35;"Bcells";"H3f3b";"Upregulated_yMB"
"Rps19";1,60898632536606e-39;-0,202674956837018;0,988;0,997;3,28394109007212e-35;"Bcells";"Rps19";"Upregulated_yMB"
"Hist1h1c";2,06482621359929e-38;-0,865735992848164;0,301;0,507;4,21431030195615e-34;"Bcells";"Hist1h1c";"Upregulated_yMB"
"Rps6";1,13360281645336e-37;-0,272007836132385;0,959;0,988;2,3136833483813e-33;"Bcells";"Rps6";"Upregulated_yMB"
"Rps13";1,84299339978378e-37;-0,206675475718323;0,985;0,994;3,76154952895869e-33;"Bcells";"Rps13";"Upregulated_yMB"
"Rpl30";3,67464973002156e-37;-0,204167893423479;0,986;0,994;7,49996009897401e-33;"Bcells";"Rpl30";"Upregulated_yMB"
"Sp140";1,32556721167087e-36;-0,673456999186566;0,401;0,61;2,70548267902025e-32;"Bcells";"Sp140";"Upregulated_yMB"
"Rps18";2,2931691486806e-36;-0,247491249151112;0,978;0,992;4,68035823245711e-32;"Bcells";"Rps18";"Upregulated_yMB"
"Prss2";1,44538956816872e-35;-4,45484541338889;0,003;0,08;2,95004010863235e-31;"Bcells";"Prss2";"Upregulated_yMB"
"Rpl13a";2,82894385324715e-35;-0,19259335314112;0,99;0,996;5,77387440447744e-31;"Bcells";"Rpl13a";"Upregulated_yMB"
"Stat4";5,12447492722928e-35;-0,749280101626764;0,3;0,5;1,0459053326475e-30;"Bcells";"Stat4";"Upregulated_yMB"
"Rps20";6,43417453809666e-35;-0,201395497183902;0,991;0,995;1,31321502322553e-30;"Bcells";"Rps20";"Upregulated_yMB"
"Rpl14";5,14342229673184e-34;-0,287025355300113;0,933;0,978;1,04977249076297e-29;"Bcells";"Rpl14";"Upregulated_yMB"
"Rpl38";7,80487071406613e-33;-0,184806467181886;0,986;0,993;1,5929741127409e-28;"Bcells";"Rpl38";"Upregulated_yMB"
"Rpl27a";9,92677078117656e-32;-0,187032823191209;0,988;0,994;2,02605391643814e-27;"Bcells";"Rpl27a";"Upregulated_yMB"
"Rps28";5,39642941410239e-29;-0,185841049878134;0,985;0,993;1,1014112434183e-24;"Bcells";"Rps28";"Upregulated_yMB"
"Try4";6,00434298220764e-29;-5,84730769873206;0,001;0,062;1,22548640266858e-24;"Bcells";"Try4";"Upregulated_yMB"
"Dgkd";2,91568482028096e-28;-0,497780084542742;0,497;0,693;5,95091271819344e-24;"Bcells";"Dgkd";"Upregulated_yMB"
"H3f3a";7,21087101974324e-27;-0,274452111583023;0,942;0,979;1,4717387751296e-22;"Bcells";"H3f3a";"Upregulated_yMB"
"Fth1";9,80791590853378e-26;-0,289924424552724;0,977;0,988;2,00179563693175e-21;"Bcells";"Fth1";"Upregulated_yMB"
"Rps3a1";1,93763531407328e-25;-0,160783931415581;0,993;0,994;3,95471367602356e-21;"Bcells";"Rps3a1";"Upregulated_yMB"
"Srgn";9,0752273657809e-25;-0,314711301504158;0,848;0,929;1,85225390535588e-20;"Bcells";"Srgn";"Upregulated_yMB"
"Ptma";1,01698177979794e-24;-0,260489221214338;0,974;0,992;2,0756598125676e-20;"Bcells";"Ptma";"Upregulated_yMB"
"Rpl7a";1,58269341484062e-24;-0,249443036717525;0,892;0,968;3,2302772596897e-20;"Bcells";"Rpl7a";"Upregulated_yMB"
"Adgre5";2,69317476502982e-24;-0,494873854649225;0,523;0,692;5,49676969542585e-20;"Bcells";"Adgre5";"Upregulated_yMB"
"Rpl8";3,48990975379823e-24;-0,179604868585445;0,982;0,994;7,12290580750219e-20;"Bcells";"Rpl8";"Upregulated_yMB"
"Rps4x";1,95379220137637e-23;-0,173813556524317;0,986;0,992;3,98768988300918e-19;"Bcells";"Rps4x";"Upregulated_yMB"
"Gm26669";2,92628097150081e-23;-0,787087004445417;0,179;0,324;5,97253946283315e-19;"Bcells";"Gm26669";"Upregulated_yMB"
"Rpl24";6,01363364970626e-23;-0,239469318789031;0,94;0,979;1,22738262790505e-18;"Bcells";"Rpl24";"Upregulated_yMB"
"2210010C04Rik";6,92397899584294e-23;-4,27898919552129;0,002;0,051;1,41318411305154e-18;"Bcells";"2210010C04Rik";"Upregulated_yMB"
"Rps27rt";7,77905298081403e-23;-0,346489028750909;0,665;0,825;1,58770471338414e-18;"Bcells";"Rps27rt";"Upregulated_yMB"
"Sycn";9,378422108383e-23;-3,13511156322341;0,002;0,052;1,91413595232097e-18;"Bcells";"Sycn";"Upregulated_yMB"
"Pfn1";1,50704211646172e-22;-0,281694988027778;0,862;0,942;3,07587295969836e-18;"Bcells";"Pfn1";"Upregulated_yMB"
"Dad1";3,07454115957706e-22;-0,45079119880626;0,519;0,696;6,27513850669677e-18;"Bcells";"Dad1";"Upregulated_yMB"
"Snrpg";3,19428963092388e-22;-0,372974931194817;0,598;0,781;6,51954513671564e-18;"Bcells";"Snrpg";"Upregulated_yMB"
"Cela2a";5,28654953776611e-22;-3,05061596792404;0,002;0,05;1,07898476065806e-17;"Bcells";"Cela2a";"Upregulated_yMB"
"Pnlip";1,48425014886977e-21;-2,09760429666259;0,004;0,054;3,0293545538432e-17;"Bcells";"Pnlip";"Upregulated_yMB"
"Rpl10a";5,55428774932036e-21;-0,217566067039475;0,961;0,983;1,13363012963629e-16;"Bcells";"Rpl10a";"Upregulated_yMB"
"Dennd4a";5,58367123629218e-21;-0,431091618806493;0,484;0,653;1,13962729932723e-16;"Bcells";"Dennd4a";"Upregulated_yMB"
"Sh3bgrl3";1,08183895488282e-20;-0,290974605498802;0,757;0,895;2,20803330691583e-16;"Bcells";"Sh3bgrl3";"Upregulated_yMB"
"Pxk";1,67635617884475e-20;-0,47455329685677;0,431;0,596;3,42144296102214e-16;"Bcells";"Pxk";"Upregulated_yMB"
"Try5";2,51063192611314e-20;-4,18203971492185;0,002;0,045;5,12419976119691e-16;"Bcells";"Try5";"Upregulated_yMB"
"Jarid2";5,66734437227451e-20;-0,534841948189989;0,333;0,495;1,15670498638123e-15;"Bcells";"Jarid2";"Upregulated_yMB"
"Ppp1r11";1,9364306001643e-19;-0,471665462304247;0,293;0,446;3,95225485493534e-15;"Bcells";"Ppp1r11";"Upregulated_yMB"
"Psenen";3,06589606988957e-19;-0,419437657482701;0,283;0,442;6,25749387864461e-15;"Bcells";"Psenen";"Upregulated_yMB"
"Naca";4,13422947895746e-19;-0,265478141408846;0,829;0,929;8,43796236655217e-15;"Bcells";"Naca";"Upregulated_yMB"
"Gnas";4,89104692421108e-19;-0,299168193870508;0,766;0,879;9,98262677231482e-15;"Bcells";"Gnas";"Upregulated_yMB"
"Kras";6,24216338433437e-19;-0,381882554273249;0,613;0,762;1,27402554674265e-14;"Bcells";"Kras";"Upregulated_yMB"
"Gimap5";7,61104462146045e-19;-0,50496738554693;0,331;0,482;1,55341420724008e-14;"Bcells";"Gimap5";"Upregulated_yMB"
"Rnaset2a";9,29523405310203e-19;-0,832585664004576;0,104;0,204;1,89715727023812e-14;"Bcells";"Rnaset2a";"Upregulated_yMB"
"Cfl1";1,0645767737128e-18;-0,271055774099951;0,812;0,928;2,17280119514782e-14;"Bcells";"Cfl1";"Upregulated_yMB"
"Rpl35a";1,10284679769551e-18;-0,127209137136987;0,987;0,995;2,25091031409653e-14;"Bcells";"Rpl35a";"Upregulated_yMB"
"Cela1";1,82612810088594e-18;-2,39645701162;0,012;0,063;3,72712745390819e-14;"Bcells";"Cela1";"Upregulated_yMB"
"Gng5";3,38862895542351e-18;-0,372764624422552;0,453;0,629;6,91619169801939e-14;"Bcells";"Gng5";"Upregulated_yMB"
"Gm21092";3,41015293173856e-18;-0,371539430287981;0,367;0,531;6,9601221336784e-14;"Bcells";"Gm21092";"Upregulated_yMB"
"Cpa1";3,83104323602566e-18;-4,51237448383812;0,001;0,04;7,81915924472837e-14;"Bcells";"Cpa1";"Upregulated_yMB"
"Rpl4";5,00999737983939e-18;-0,208082573733353;0,895;0,961;1,02254046522522e-13;"Bcells";"Rpl4";"Upregulated_yMB"
"Ost4";6,37650987939439e-18;-0,4445521125901;0,327;0,484;1,30144566638439e-13;"Bcells";"Ost4";"Upregulated_yMB"
"Gm6483";6,91757408213268e-18;-0,479117524092571;0,211;0,343;1,41187687016328e-13;"Bcells";"Gm6483";"Upregulated_yMB"
"Hmgn2";1,04439862138912e-17;-0,523362679333718;0,209;0,342;2,13161758625519e-13;"Bcells";"Hmgn2";"Upregulated_yMB"
"Kmt2e";1,19568312119252e-17;-0,288512144945383;0,696;0,833;2,44038925035394e-13;"Bcells";"Kmt2e";"Upregulated_yMB"
"Slc16a6";3,58696692788065e-17;-0,414134316849861;0,4;0,562;7,32099949980441e-13;"Bcells";"Slc16a6";"Upregulated_yMB"
"Gpr183";7,44343412899672e-17;-0,456080327111596;0,506;0,649;1,51920490572823e-12;"Bcells";"Gpr183";"Upregulated_yMB"
"Rps10";9,65860528866679e-17;-0,125998989391952;0,99;0,992;1,97132133941689e-12;"Bcells";"Rps10";"Upregulated_yMB"
"Rpl18";1,02268027369544e-16;-0,146089570578262;0,98;0,99;2,08729043861239e-12;"Bcells";"Rpl18";"Upregulated_yMB"
"Rpl36a";1,2024288031181e-16;-0,192220944697056;0,954;0,984;2,45415718716404e-12;"Bcells";"Rpl36a";"Upregulated_yMB"
"Rpl7";1,22358173516648e-16;-0,15100671733373;0,978;0,992;2,49733032147479e-12;"Bcells";"Rpl7";"Upregulated_yMB"
"Cpb1";1,5843487132437e-16;-4,33263219085628;0,002;0,039;3,2336557237304e-12;"Bcells";"Cpb1";"Upregulated_yMB"
"Cd52";1,63454570353013e-16;-0,249193091591238;0,839;0,932;3,336107780905e-12;"Bcells";"Cd52";"Upregulated_yMB"
"Ftl1";2,11152326034984e-16;-0,332784265103542;0,749;0,864;4,30961897437402e-12;"Bcells";"Ftl1";"Upregulated_yMB"
"Stap1";2,2377010829382e-16;-0,374757374096839;0,647;0,762;4,56714791027686e-12;"Bcells";"Stap1";"Upregulated_yMB"
"Gm26522";2,94980632167917e-16;-1,21040675722316;0,046;0,115;6,02055470254718e-12;"Bcells";"Gm26522";"Upregulated_yMB"
"Hist1h4d";2,96811998572988e-16;-1,39641793380589;0,038;0,103;6,05793289087469e-12;"Bcells";"Hist1h4d";"Upregulated_yMB"
"Cela3b";3,12097465722726e-16;-3,00907488187109;0,002;0,038;6,36990927540083e-12;"Bcells";"Cela3b";"Upregulated_yMB"
"Rps27a";4,71613022442032e-16;-0,143982975207593;0,986;0,995;9,62562178804188e-12;"Bcells";"Rps27a";"Upregulated_yMB"
"Ube2i";5,08427946514484e-16;-0,349693079647736;0,367;0,523;1,03770143883606e-11;"Bcells";"Ube2i";"Upregulated_yMB"
"A630001G21Rik";5,66410832020709e-16;-0,329641887267635;0,339;0,498;1,15604450815427e-11;"Bcells";"A630001G21Rik";"Upregulated_yMB"
"Pfdn5";7,81417992702933e-16;-0,283271357124005;0,706;0,854;1,59487412310669e-11;"Bcells";"Pfdn5";"Upregulated_yMB"
"Gm10020";1,63544464116805e-15;-1,4852864048071;0,028;0,086;3,33794251262399e-11;"Bcells";"Gm10020";"Upregulated_yMB"
"Gripap1";1,68115416470976e-15;-0,365340833702024;0,293;0,437;3,43123565017261e-11;"Bcells";"Gripap1";"Upregulated_yMB"
"Pik3ap1";1,68912451285086e-15;-0,883492862644335;0,079;0,16;3,44750313072861e-11;"Bcells";"Pik3ap1";"Upregulated_yMB"
"Tln1";3,26736950883329e-15;-0,310777816265835;0,409;0,566;6,66870116752875e-11;"Bcells";"Tln1";"Upregulated_yMB"
"Rpl27-ps3";3,45205338624476e-15;-0,5083741321241;0,163;0,271;7,04564096132555e-11;"Bcells";"Rpl27-ps3";"Upregulated_yMB"
"Rhoh";7,48759052305375e-15;-0,373232695431981;0,495;0,633;1,52821722575527e-10;"Bcells";"Rhoh";"Upregulated_yMB"
"Sp110";7,69082984856932e-15;-0,343381103497275;0,511;0,666;1,569698372093e-10;"Bcells";"Sp110";"Upregulated_yMB"
"Rpl22l1";9,88882520560815e-15;-0,296916715099197;0,755;0,867;2,01830922446462e-10;"Bcells";"Rpl22l1";"Upregulated_yMB"
"Sec61g";9,92435434662952e-15;-0,312051496961556;0,547;0,703;2,02556072214708e-10;"Bcells";"Sec61g";"Upregulated_yMB"
"A530040E14Rik";1,3022261240273e-14;-0,453221872138766;0,242;0,367;2,65784351913972e-10;"Bcells";"A530040E14Rik";"Upregulated_yMB"
"Actb";1,60000677942119e-14;-0,185706746542362;0,994;1;3,26561383679866e-10;"Bcells";"Actb";"Upregulated_yMB"
"Cd180";2,45171448165133e-14;-0,403652086278997;0,431;0,568;5,00394925705036e-10;"Bcells";"Cd180";"Upregulated_yMB"
"PISD";2,45660828800365e-14;-0,276844468452303;0,452;0,601;5,01393751581546e-10;"Bcells";"PISD";"Upregulated_yMB"
"Eno1";2,77540399056158e-14;-0,455925894634777;0,217;0,332;5,66459954473618e-10;"Bcells";"Eno1";"Upregulated_yMB"
"Sepw1";2,99821929872981e-14;-0,314029177226895;0,497;0,652;6,11936558870754e-10;"Bcells";"Sepw1";"Upregulated_yMB"
"H2-DMa";3,39896131280013e-14;-0,271913566516;0,657;0,803;6,93728003942508e-10;"Bcells";"H2-DMa";"Upregulated_yMB"
"Tcf25";3,41385996621743e-14;-0,280570839856495;0,476;0,64;6,96768819104978e-10;"Bcells";"Tcf25";"Upregulated_yMB"
"Otulin";3,8230574852385e-14;-0,440846986926901;0,36;0,493;7,80286032737179e-10;"Bcells";"Otulin";"Upregulated_yMB"
"Myo1e";4,48828136904156e-14;-0,432957331249281;0,312;0,436;9,16058227421383e-10;"Bcells";"Myo1e";"Upregulated_yMB"
"H2-DMb1";5,49679636258864e-14;-0,297723502433575;0,407;0,56;1,12189613760434e-09;"Bcells";"H2-DMb1";"Upregulated_yMB"
"Fcmr";6,80994558655869e-14;-0,319345583182856;0,523;0,668;1,38990989421663e-09;"Bcells";"Fcmr";"Upregulated_yMB"
"Psmb1";8,44395281734667e-14;-0,329196169119525;0,473;0,628;1,72341077002045e-09;"Bcells";"Psmb1";"Upregulated_yMB"
"Pcif1";8,47943618988112e-14;-0,402052831060395;0,226;0,345;1,73065292635474e-09;"Bcells";"Pcif1";"Upregulated_yMB"
"Gm43603";1,13308504089203e-13;-0,31033396481821;0,265;0,388;2,31262656846063e-09;"Bcells";"Gm43603";"Upregulated_yMB"
"Eif3h";1,17190027054434e-13;-0,286562319445016;0,5;0,671;2,391848452181e-09;"Bcells";"Eif3h";"Upregulated_yMB"
"Dmxl1";1,88434139781253e-13;-0,314871130001765;0,598;0,725;3,84594079293537e-09;"Bcells";"Dmxl1";"Upregulated_yMB"
"Rps25";2,36229054530247e-13;-0,126455220275544;0,973;0,987;4,82143500296235e-09;"Bcells";"Rps25";"Upregulated_yMB"
"Gimap6";4,92457373017393e-13;-0,272199169113028;0,709;0,844;1,0051054983285e-08;"Bcells";"Gimap6";"Upregulated_yMB"
"Tpr";5,95186691667644e-13;-0,308749177501526;0,551;0,693;1,21477603769366e-08;"Bcells";"Tpr";"Upregulated_yMB"
"Cxcr5";6,63597285284338e-13;-0,424572298743225;0,274;0,392;1,35440205926533e-08;"Bcells";"Cxcr5";"Upregulated_yMB"
"Fxyd5";6,84536974680668e-13;-0,409188357373708;0,278;0,399;1,39713996532324e-08;"Bcells";"Fxyd5";"Upregulated_yMB"
"Ash1l";7,42702061748098e-13;-0,276709461524478;0,56;0,706;1,51585490802787e-08;"Bcells";"Ash1l";"Upregulated_yMB"
"Pdcd1lg2";7,43615996489985e-13;-0,580834407115777;0,112;0,196;1,51772024883606e-08;"Bcells";"Pdcd1lg2";"Upregulated_yMB"
"Foxn3";7,47405154495423e-13;-0,334006691754892;0,276;0,4;1,52545392032516e-08;"Bcells";"Foxn3";"Upregulated_yMB"
"Tespa1";7,8502127504544e-13;-0,69419418545313;0,08;0,154;1,60222842236774e-08;"Bcells";"Tespa1";"Upregulated_yMB"
"Gpr171";8,39663561217754e-13;-0,408956849492235;0,326;0,455;1,71375332844544e-08;"Bcells";"Gpr171";"Upregulated_yMB"
"Surf6";8,51041308004644e-13;-0,9728184479625;0,065;0,132;1,73697530963748e-08;"Bcells";"Surf6";"Upregulated_yMB"
"Ctrl";8,55459824801779e-13;-3,80331953016797;0,003;0,032;1,74599350242043e-08;"Bcells";"Ctrl";"Upregulated_yMB"
"Itsn2";9,0621995854555e-13;-0,377653764297461;0,331;0,459;1,84959493539147e-08;"Bcells";"Itsn2";"Upregulated_yMB"
"Sept1";9,8831055042547e-13;-0,383681190897523;0,296;0,417;2,01714183341838e-08;"Bcells";"Sept1";"Upregulated_yMB"
"Fyn";1,01617558260483e-12;-0,481979259319388;0,166;0,265;2,07401436409645e-08;"Bcells";"Fyn";"Upregulated_yMB"
"Baz2b";1,52665722147499e-12;-0,31837913351845;0,461;0,605;3,11590738903046e-08;"Bcells";"Baz2b";"Upregulated_yMB"
"Nfx1";2,61647078426453e-12;-0,434135690681615;0,209;0,319;5,3402168706839e-08;"Bcells";"Nfx1";"Upregulated_yMB"
"Sorl1";3,02048227651197e-12;-0,269731006401666;0,631;0,76;6,16480432636094e-08;"Bcells";"Sorl1";"Upregulated_yMB"
"Ppp1r12a";3,04748876057088e-12;-0,484456012228087;0,19;0,293;6,21992456032517e-08;"Bcells";"Ppp1r12a";"Upregulated_yMB"
"Nrd1";3,59998711257011e-12;-0,345988830012276;0,296;0,414;7,34757369675559e-08;"Bcells";"Nrd1";"Upregulated_yMB"
"Smg6";3,9495321922327e-12;-0,589495258186985;0,163;0,255;8,06099520434694e-08;"Bcells";"Smg6";"Upregulated_yMB"
"Trip11";4,1459044188541e-12;-0,325136492732423;0,279;0,403;8,46179091888122e-08;"Bcells";"Trip11";"Upregulated_yMB"
"Ppib";5,01929615076506e-12;-0,256083352836723;0,406;0,557;1,02443834437115e-07;"Bcells";"Ppib";"Upregulated_yMB"
"Papolg";5,04209234538651e-12;-0,629123998665311;0,097;0,174;1,02909104769339e-07;"Bcells";"Papolg";"Upregulated_yMB"
"Cd37";5,38775380958119e-12;-0,20409780940594;0,708;0,837;1,09964055253552e-07;"Bcells";"Cd37";"Upregulated_yMB"
"C130026I21Rik";5,49972961208468e-12;-0,54774295274027;0,147;0,234;1,12249481382648e-07;"Bcells";"C130026I21Rik";"Upregulated_yMB"
"Cnr2";5,68426475984432e-12;-0,463947632485739;0,156;0,248;1,16015843748423e-07;"Bcells";"Cnr2";"Upregulated_yMB"
"Dock2";5,95734784563591e-12;-0,265189312856771;0,6;0,737;1,21589469529429e-07;"Bcells";"Dock2";"Upregulated_yMB"
"Malt1";7,96033768272422e-12;-0,271482974014606;0,564;0,691;1,62470492104401e-07;"Bcells";"Malt1";"Upregulated_yMB"
"Trp53i11";8,65827297180939e-12;-0,404961134863507;0,256;0,369;1,7671535135463e-07;"Bcells";"Trp53i11";"Upregulated_yMB"
"Rpl31";8,97633282334249e-12;-0,181166456738669;0,888;0,956;1,8320695292442e-07;"Bcells";"Rpl31";"Upregulated_yMB"
"Ndufa7";9,37165147892757e-12;-0,290453502599168;0,355;0,484;1,91275406684912e-07;"Bcells";"Ndufa7";"Upregulated_yMB"
"Vpreb3";1,01332297761092e-11;-0,292255079756111;0,498;0,629;2,06819219730389e-07;"Bcells";"Vpreb3";"Upregulated_yMB"
"Pold4";1,62524414967398e-11;-0,210423978257337;0,493;0,658;3,3171233094846e-07;"Bcells";"Pold4";"Upregulated_yMB"
"Golgb1";1,66404874140094e-11;-0,443381997290401;0,219;0,321;3,39632348119931e-07;"Bcells";"Golgb1";"Upregulated_yMB"
"Baz1b";1,84788792687495e-11;-0,292014557194742;0,295;0,419;3,77153925875178e-07;"Bcells";"Baz1b";"Upregulated_yMB"
"Fmnl3";1,85764766392326e-11;-0,391305941760643;0,211;0,314;3,79145888206738e-07;"Bcells";"Fmnl3";"Upregulated_yMB"
"Chchd10";2,06212863295315e-11;-0,326942935413872;0,334;0,467;4,20880453985737e-07;"Bcells";"Chchd10";"Upregulated_yMB"
"Stat3";2,10211740141495e-11;-0,257047371698977;0,498;0,642;4,29042161628791e-07;"Bcells";"Stat3";"Upregulated_yMB"
"Nipbl";2,27179366991472e-11;-0,287424370517401;0,482;0,616;4,63673088029594e-07;"Bcells";"Nipbl";"Upregulated_yMB"
