"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000051951",36.0690171030053,-0.034778366598687,0.243915601408388,-0.142583608419773,0.886619043783954,0.999862803868047
"ENSMUSG00000089699",0.446474207292776,-0.333712220894337,1.37139107310598,-0.24333848122442,0.807743196387935,0.999862803868047
"ENSMUSG00000102331",3.46130568833716,0.127493341749484,0.652404538136564,0.195420685014911,0.845063624476465,0.999862803868047
"ENSMUSG00000025900",1.09652162009709,0.898344010826925,1.04395423445646,0.860520491393622,0.389502192870411,0.999862803868047
"ENSMUSG00000025902",49.2653457869033,-0.477384450326909,0.211715756261488,-2.25483666759926,0.0241435827804328,0.999862803868047
"ENSMUSG00000102269",0.990704184703833,-0.215877118480715,0.84977057984536,-0.254041647946908,0.799463382852451,0.999862803868047
"ENSMUSG00000104328",0.642985676759483,-1.57244434618827,1.34243548840404,-1.1713369914391,0.241463348038491,0.999862803868047
"ENSMUSG00000033845",1782.45878823008,0.0348394056212016,0.126952611049852,0.274428429105101,0.783755398043571,0.999862803868047
"ENSMUSG00000025903",4886.68400472874,0.124809129336555,0.153774816103615,0.811635692364976,0.417000704436053,0.999862803868047
"ENSMUSG00000104217",1.33019464880361,0.997082728818929,0.769720922987944,1.29538213012113,0.195188439464209,0.999862803868047
"ENSMUSG00000033813",1294.91207145227,-0.0117561045260964,0.120446657397364,-0.0976042405835472,0.922246557088732,0.999862803868047
"ENSMUSG00000002459",4.56395239647857,-0.454657616050915,0.387150500621168,-1.1743691802579,0.240247184392343,0.999862803868047
"ENSMUSG00000033793",2593.04832718609,-0.0486867123632557,0.147811512560569,-0.329383763956175,0.741865638225592,0.999862803868047
"ENSMUSG00000025905",15.8556218801237,-0.668270895425157,0.414377892727481,-1.61270885139776,0.106807776616364,0.999862803868047
"ENSMUSG00000025907",2929.83292668118,-0.0115659917835067,0.104669482163521,-0.110500133796761,0.912012743765776,0.999862803868047
"ENSMUSG00000090031",21.7267120421357,-0.123994097312369,0.242017310757171,-0.512335654521749,0.60841611585421,0.999862803868047
"ENSMUSG00000087247",6.87798189199193,0.233003529499073,0.601487526196292,0.387378822255133,0.698475779693012,0.999862803868047
"ENSMUSG00000103845",0.773157992084393,-0.230708942042666,1.0854910816499,-0.212538772489957,0.831686732585391,0.999862803868047
"ENSMUSG00000033740",60.1750847529455,0.0878583694449191,0.162685621361047,0.540049997718827,0.589162552669903,0.999862803868047
"ENSMUSG00000102135",8.58486460081122,0.269313533056715,0.319647900580775,0.842531837585647,0.399490326501849,0.999862803868047
"ENSMUSG00000051285",2266.90040890443,0.0403030555358431,0.0965330372111321,0.417505309065272,0.676308841841121,0.999862803868047
"ENSMUSG00000097797",40.9143352517202,-0.138538650618793,0.288092405815406,-0.480882688409224,0.630599877175533,0.999862803868047
"ENSMUSG00000103067",82.2414778078906,-0.0135948364526358,0.340476138593171,-0.0399288963649815,0.968149813499658,0.999862803868047
"ENSMUSG00000025909",6.79225963160844,-0.278353509881406,0.395849105630825,-0.703180848262427,0.481943052912125,0.999862803868047
"ENSMUSG00000101571",0.413074848265299,0.921765793461711,1.20960725798534,0.762037254138967,0.446037769874274,0.999862803868047
"ENSMUSG00000103411",0.227849964005261,0.0501934279058965,1.81119244768809,0.0277129180667501,0.977891120534008,0.999862803868047
"ENSMUSG00000025911",75.2385310269724,-0.600301001858965,0.248840151197964,-2.41239606618546,0.0158480551749982,0.999862803868047
"ENSMUSG00000079671",10.841643708338,-0.101505808846091,0.306574756835377,-0.331096434337537,0.740571644876973,0.999862803868047
"ENSMUSG00000067879",2.62864351900549,-0.282099517697685,0.57870743077816,-0.487464827120605,0.625928962679167,0.999862803868047
"ENSMUSG00000025912",59.0096920588435,-0.0124019969177377,0.171802774753989,-0.0721874075403998,0.942452766355566,0.999862803868047
"ENSMUSG00000045210",1622.89350469344,0.0326327641733826,0.054191832961722,0.602171256994252,0.54706014629129,0.999862803868047
"ENSMUSG00000097893",12.1225028758581,-0.209268633424696,0.263056521800948,-0.795527257761917,0.426306861647764,0.999862803868047
"ENSMUSG00000025915",153.736044430608,-0.0568656445356869,0.142773939827365,-0.398291485157908,0.690415336261611,0.999862803868047
"ENSMUSG00000046101",0.857532130802545,-0.61341143807688,0.875388458037382,-0.70073055275614,0.483471185180106,0.999862803868047
"ENSMUSG00000098234",445.833192746552,0.0844097918928306,0.10254817610489,0.823123287989965,0.410437886862774,0.999862803868047
"ENSMUSG00000099032",9.02741823279627,0.0149271271799794,0.287791047534499,0.0518679344192944,0.958633924496172,0.999862803868047
"ENSMUSG00000025916",0.923774087749055,-0.767156533748971,0.828834832666011,-0.925584330573262,0.354662039651289,0.999862803868047
"ENSMUSG00000025917",2535.54684765157,-0.0219901879799656,0.122017740614433,-0.180221235610753,0.856978887773009,0.999862803868047
"ENSMUSG00000056763",674.01464835441,0.0969366075875914,0.104462888395602,0.927952587530335,0.353432164145511,0.999862803868047
"ENSMUSG00000067851",7659.58816589476,-0.0177173595339219,0.0939547541976693,-0.188573315796737,0.850427248468053,0.999862803868047
"ENSMUSG00000042501",31.5260778241691,-0.586208866443207,0.397001893549426,-1.47658959810534,0.139785681699792,0.999862803868047
"ENSMUSG00000048960",158.408719955365,-0.186945760260679,0.207862315144,-0.899373030321391,0.368453999592722,0.999862803868047
"ENSMUSG00000057715",8.02264029548628,-0.643611019837865,0.382997293600184,-1.68045840164536,0.092868161359864,0.999862803868047
"ENSMUSG00000016918",413.869453619397,-0.384461947793407,0.29485085653218,-1.30392006424932,0.192260838434937,0.999862803868047
"ENSMUSG00000025938",14.262011111627,0.149583924115944,0.397055570854849,0.37673296912544,0.7063720591957,0.999862803868047
"ENSMUSG00000042414",164.954317904806,0.0359021776473783,0.29871456671247,0.120188908236056,0.904333504027574,0.999862803868047
"ENSMUSG00000005886",2077.82188201796,0.0601651637432007,0.0924911496988288,0.65049644143371,0.515371599635379,0.999862803868047
"ENSMUSG00000101476",0.309465373824143,-0.190254512759055,1.75962095359858,-0.108122441012064,0.913898567151884,0.999862803868047
"ENSMUSG00000025935",3676.86829511275,0.0431098742583573,0.121184728454435,0.355736855692724,0.722037641301754,0.999862803868047
"ENSMUSG00000025937",1374.99989550896,0.116239999399939,0.0942348214003073,1.23351429622978,0.217383946273002,0.999862803868047
"ENSMUSG00000067813",294.511184788437,0.0743194885890806,0.245895187658381,0.302240516769818,0.76246871969024,0.999862803868047
"ENSMUSG00000025932",12.4961453056179,-0.444232542335725,0.477849950669327,-0.929648609806251,0.35255305038868,0.999862803868047
"ENSMUSG00000054493",0.751317540914626,-0.784204421731916,1.04401195697189,-0.751145057769706,0.45256536143562,0.999862803868047
"ENSMUSG00000025930",19.4779453779,0.0862143645157513,0.377072952260275,0.228641073296187,0.819147898170054,0.999862803868047
"ENSMUSG00000032769",45.5788939472459,0.361345870305962,0.425240009599288,0.849745701601468,0.395466483747821,0.999862803868047
"ENSMUSG00000092083",46.7852483306815,-0.216120125212544,0.315474795314256,-0.685063049164544,0.493304135996267,0.999862803868047
"ENSMUSG00000101652",0.241239341543797,-0.238344532826627,1.75738269796095,-0.135624717998631,0.892117963864239,0.999862803868047
"ENSMUSG00000025925",632.513687308687,0.0615710205359383,0.224522542058779,0.274230907824922,0.783907177206454,0.999862803868047
"ENSMUSG00000032719",14.0187299848017,-0.176597845177371,0.333434738537956,-0.529632413082442,0.59636681664998,0.999862803868047
"ENSMUSG00000067795",0.252609322937573,-0.478792491221199,1.52339663550157,-0.314292732479062,0.753298717422474,0.999862803868047
"ENSMUSG00000043716",36142.5797165167,0.0104625301128888,0.0766072354404566,0.136573654599778,0.891367801921634,0.999862803868047
"ENSMUSG00000025921",1445.38273102934,0.0584782720411959,0.200096523299335,0.292250315382617,0.770095243824102,0.999862803868047
"ENSMUSG00000100868",0.316662450743003,-0.707909945383853,2.08513764151324,-0.339502741349058,0.734231032292205,0.999862803868047
"ENSMUSG00000025920",665.769582406963,0.0116035300061357,0.117762934676052,0.0985329555352483,0.921509104540285,0.999862803868047
"ENSMUSG00000025939",1306.65890279911,0.0344263562288855,0.0656148892066993,0.524672930871467,0.599810577965929,0.999862803868047
"ENSMUSG00000079658",2099.9677573604,0.0234497320749673,0.102439769140677,0.228912386973117,0.818937012765559,0.999862803868047
"ENSMUSG00000097744",0.336469807992976,0.342498340384811,1.32889560905041,0.257731561495301,0.796614086217376,0.999862803868047
"ENSMUSG00000025940",1926.39150199805,0.00320167354177285,0.114278174712058,0.0280164917740415,0.977648997776184,0.999862803868047
"ENSMUSG00000025779",305.349404317401,0.0414715859093483,0.100778068884637,0.411513996729008,0.680695680123093,0.999862803868047
"ENSMUSG00000042686",44.6220517871231,-0.632441491865425,0.437187223281296,-1.446614764079,0.148004848810966,0.999862803868047
"ENSMUSG00000025777",42.2055551941176,-0.45345145502231,0.355658414035211,-1.27496338376355,0.202322202555723,0.999862803868047
"ENSMUSG00000099899",0.77423221288496,0.200367805928424,1.13357331147518,0.176757695245731,0.859698720039355,0.999862803868047
"ENSMUSG00000067780",28.1072898662267,-0.586347619557068,0.455748941788887,-1.28655837851331,0.198248258706439,0.999862803868047
"ENSMUSG00000100053",0.277171824907519,-0.190254173563332,1.53809576377112,-0.123694621651428,0.901557070257052,0.999862803868047
"ENSMUSG00000085125",0.575731110108679,-0.474261728189354,1.0663605782572,-0.44474799412077,0.656501881194413,0.999862803868047
